id;course;name;intro;introformat;alwaysshowdescription;nosubmissions;submissiondrafts;sendnotifications;sendlatenotifications;duedate;allowsubmissionsfromdate;grade;timemodified;requiresubmissionstatement;completionsubmit;cutoffdate;gradingduedate;teamsubmission;requireallteammemberssubmit;teamsubmissiongroupingid;blindmarking;revealidentities;attemptreopenmethod;maxattempts;markingworkflow;markingallocation;sendstudentnotifications;preventsubmissionnotingroup
26;2;Einsendeaufgabe 3.5 (Für Gruppe - Nicht änderbar);<removed>;1;1;0;0;0;0;1578351540;1569276000;5;1569399840;0;1;0;0;1;0;0;0;0;none;-1;0;0;1;0
22;2;Einsendeaufgabe 3.1;<removed>;1;1;0;0;0;0;1578351540;1569276000;25;1569400564;0;1;1578351540;0;0;0;0;0;0;none;-1;0;0;1;0
24;2;Einsendeaufgabe 3.3;<removed>;1;1;0;0;0;0;1578351540;1569276000;10;1569400608;0;1;1578351540;0;0;0;0;0;0;none;-1;0;0;1;0
28;2;Einsendeaufgabe 3.5;<removed>;1;1;0;0;0;0;1578351540;1569276000;5;1569400662;0;1;1578351540;0;0;0;0;0;0;none;-1;0;0;1;0
29;2;Einsendeaufgabe 3.6;<removed>;1;1;0;0;0;0;1578351540;1569362400;10;1569400104;0;1;1578351540;0;0;0;0;0;0;none;-1;0;0;1;0
13;2;Einsendeaufgabe 2.1;<removed>;1;1;0;0;0;0;1574722740;1569276000;16;1569400386;0;1;1574722740;0;0;0;0;0;0;none;-1;0;0;1;0
39;5;Einsendeaufgabe 1.1;<removed>;1;1;0;0;0;0;1603666740;1601244000;6;1599809851;0;1;1603753140;0;0;0;0;0;0;none;-1;0;0;1;0
71;5;Praktische Aufgabe: Unix/Linux Installation;<removed>;1;1;1;0;0;0;1617227940;1601244000;0;1603098981;0;0;0;0;0;0;0;0;0;none;-1;0;0;1;0
16;2;Einsendeaufgabe 2.4;<removed>;1;1;0;0;0;0;1574722740;1569276000;10;1569400448;0;1;1574722740;0;0;0;0;0;0;none;-1;0;0;1;0
19;2;Einsendeaufgabe 2.7;<removed>;1;1;0;0;0;0;1574722740;1569276000;16;1569400519;0;1;1574722740;0;0;0;0;0;0;none;-1;0;0;1;0
48;5;Einsendeaufgabe 2.1;<removed>;1;1;0;0;0;0;1606085940;1601244000;16;1599809798;0;1;1606172340;0;0;0;0;0;0;none;-1;0;0;1;0
42;5;Einsendeaufgabe 1.3;<removed>;1;1;0;0;0;0;1603666740;1601244000;16;1599809928;0;1;1603753140;0;0;0;0;0;0;none;-1;0;0;1;0
44;5;Einsendeaufgabe 1.5;<removed>;1;1;0;0;0;0;1603666740;1601244000;9;1599809991;0;1;1603753140;0;0;0;0;0;0;none;-1;0;0;1;0
45;5;Einsendeaufgabe 1.6;<removed>;1;1;0;0;0;0;1603666740;1601244000;15;1599810023;0;1;1603753140;0;0;0;0;0;0;none;-1;0;0;1;0
58;5;Einsendeaufgabe 3.3;<removed>;1;1;0;0;0;0;1609714740;1601244000;10;1599810761;0;1;1609801140;0;0;0;0;0;0;none;-1;0;0;1;0
46;5;Einsendeaufgabe 1.7;<removed>;1;1;0;0;0;0;1603666740;1601244000;20;1599810053;0;1;1603753140;0;0;0;0;0;0;none;-1;0;0;1;0
61;5;Einsendeaufgabe 3.5;<removed>;1;1;0;0;0;0;1609714740;1601244000;5;1599810819;0;1;1609801140;0;0;0;0;0;0;none;-1;0;0;1;0
47;5;Einsendeaufgabe 1.8;<removed>;1;1;0;0;0;0;1603666740;1601244000;14;1599810109;0;1;1603753140;0;0;0;0;0;0;none;-1;0;0;1;0
49;5;Einsendeaufgabe 2.2;<removed>;1;1;0;0;0;0;1606085940;1601244000;15;1599810360;0;1;1606172340;0;0;0;0;0;0;none;-1;0;0;1;0
50;5;Einsendeaufgabe 2.3;<removed>;1;1;0;0;0;0;1606085940;1601244000;10;1599810416;0;1;1606172340;0;0;0;0;0;0;none;-1;0;0;1;0
51;5;Einsendeaufgabe 2.4;<removed>;1;1;0;0;0;0;1606085940;1601244000;10;1599810501;0;1;1606172340;0;0;0;0;0;0;none;-1;0;0;1;0
52;5;Einsendeaufgabe 2.5;<removed>;1;1;0;0;0;0;1606085940;1601244000;10;1599810533;0;1;1606172340;0;0;0;0;0;0;none;-1;0;0;1;0
53;5;Einsendeaufgabe 2.6;<removed>;1;1;0;0;0;0;1606085940;1601244000;15;1599810561;0;1;1606172340;0;0;0;0;0;0;none;-1;0;0;1;0
54;5;Einsendeaufgabe 2.7;<removed>;1;1;0;0;0;0;1606085940;1601244000;16;1599810587;0;1;1606172340;0;0;0;0;0;0;none;-1;0;0;1;0
55;5;Einsendeaufgabe 2.8;<removed>;1;1;0;0;0;0;1606085940;1601244000;8;1599810615;0;1;1606172340;0;0;0;0;0;0;none;-1;0;0;1;0
57;5;Einsendeaufgabe 3.2;<removed>;1;1;0;0;0;0;1609714740;1601244000;10;1599810731;0;1;1609801140;0;0;0;0;0;0;none;-1;0;0;1;0
59;5;Einsendeaufgabe 3.4;<removed>;1;1;0;0;0;0;1609714740;1601244000;15;1599810791;0;1;1609801140;0;0;0;0;0;0;none;-1;0;0;1;0
62;5;Einsendeaufgabe 3.6;<removed>;1;1;0;0;0;0;1609714740;1601244000;10;1599810847;0;1;1609801140;0;0;0;0;0;0;none;-1;0;0;1;0
64;5;Einsendeaufgabe 3.8;<removed>;1;1;0;0;0;0;1609714740;1601244000;15;1599810910;0;1;1609801140;0;0;0;0;0;0;none;-1;0;0;1;0
68;5;Einsendeaufgabe 4.4;<removed>;1;1;0;0;0;0;1612133940;1601244000;23;1599811136;0;1;1612220340;0;0;0;0;0;0;none;-1;0;0;1;0
65;5;Einsendeaufgabe 4.1;<removed>;1;1;0;0;0;0;1612133940;1601244000;11;1599811020;0;1;1612220340;0;0;0;0;0;0;none;-1;0;0;1;0
66;5;Einsendeaufgabe 4.2;<removed>;1;1;0;0;0;0;1612133940;1601244000;10;1599811061;0;1;1612220340;0;0;0;0;0;0;none;-1;0;0;1;0
67;5;Einsendeaufgabe 4.3;<removed>;1;1;0;0;0;0;1612133940;1601244000;16;1599811099;0;1;1612220340;0;0;0;0;0;0;none;-1;0;0;1;0
69;5;Einsendeaufgabe 4.5;<removed>;1;1;0;0;0;0;1612133940;1601244000;25;1599811169;0;1;1612220340;0;0;0;0;0;0;none;-1;0;0;1;0
70;5;Einsendeaufgabe 4.6;<removed>;1;1;0;0;0;0;1612133940;1601244000;15;1599811206;0;1;1612220340;0;0;0;0;0;0;none;-1;0;0;1;0
73;5;Praktische Aufgabe: Traceroute und ping;<removed>;1;1;1;0;0;0;1617227940;1606086000;0;1603099057;0;0;0;0;0;0;0;0;0;none;-1;0;0;1;0
